,Timestamp,Price (USD)
165,2023-04-19,30365.904167541412
166,2023-04-20,28833.217501221105
167,2023-04-21,28255.57824866478
168,2023-04-22,27300.157128515566
169,2023-04-23,27861.640663476548
170,2023-04-24,27606.578347653143
171,2023-04-25,27511.635682161308
172,2023-04-26,28351.218248373007
173,2023-04-27,28352.19132059668
174,2023-04-28,29483.52170499186
175,2023-04-29,29339.99499754935
176,2023-04-30,29217.944046809913
177,2023-05-01,29362.056213625394
178,2023-05-02,28125.501155636823
179,2023-05-03,28654.390133326717
180,2023-05-04,28988.320996249273
181,2023-05-05,28846.461458608057
182,2023-05-06,29520.322268970496
183,2023-05-07,28887.741045523366
184,2023-05-08,28611.439197614574
185,2023-05-09,27696.76078562556
186,2023-05-10,27607.39168091902
187,2023-05-11,27639.73356593586
188,2023-05-12,27024.76572929978
189,2023-05-13,26787.69039591833
190,2023-05-14,26798.126271474703
191,2023-05-15,26911.805273213893
192,2023-05-16,27227.793422558792
193,2023-05-17,27022.713173921147
194,2023-05-18,27389.971511442203
195,2023-05-19,26842.95249471792
196,2023-05-20,26884.371059589947
197,2023-05-21,27093.79110149735
198,2023-05-22,26773.83024366478
199,2023-05-23,26869.686021790778
200,2023-05-24,27222.937746603853
201,2023-05-25,26338.948946998687
202,2023-05-26,26475.607902534273
203,2023-05-27,26717.987553571777
204,2023-05-28,26848.23993959246
205,2023-05-29,28110.313467609285
206,2023-05-30,27759.746663920676
207,2023-05-31,27713.908547529507
208,2023-06-01,27245.474465179723
209,2023-06-02,26824.10149951678
210,2023-06-03,27247.74008145703
211,2023-06-04,27066.371328526235
212,2023-06-05,27315.447587487684
213,2023-06-06,25792.6160902334
214,2023-06-07,27216.61556469773
215,2023-06-08,26346.244545137633
216,2023-06-09,26507.90989220298
217,2023-06-10,26469.581684007026
218,2023-06-11,25858.12289218562
219,2023-06-12,25916.57989637981
220,2023-06-13,25910.362742919464
221,2023-06-14,25872.20645879509
222,2023-06-15,25107.754695880594
223,2023-06-16,25564.599632887144
224,2023-06-17,26327.3256694539
225,2023-06-18,26501.044442233673
226,2023-06-19,26333.092529664373
227,2023-06-20,26779.387461522838
228,2023-06-21,28330.891419807507
229,2023-06-22,30101.764819488686
230,2023-06-23,29935.632106749556
231,2023-06-24,30629.24435333575
232,2023-06-25,30537.816664634793
233,2023-06-26,30454.75697441562
234,2023-06-27,30285.50506407074
235,2023-06-28,30693.54635606798
236,2023-06-29,30083.477245263824
237,2023-06-30,30466.610456893526
238,2023-07-01,30480.781481944465
239,2023-07-02,30583.619599697537
240,2023-07-03,30571.887072871446
241,2023-07-04,31134.713133508405
242,2023-07-05,30775.624022375305
243,2023-07-06,30484.79377442352
244,2023-07-07,29990.055151220247
245,2023-07-08,30315.26540235163
246,2023-07-09,30264.19734525722
247,2023-07-10,30169.87065747925
248,2023-07-11,30394.28114637557
249,2023-07-12,30620.81424697801
250,2023-07-13,30407.41631435991
251,2023-07-14,31446.0149710716
252,2023-07-15,30311.827808130518
253,2023-07-16,30297.971400125534
254,2023-07-17,30237.334785146097
255,2023-07-18,30147.860079211525
256,2023-07-19,29848.03227250528
257,2023-07-20,29919.87483825516
258,2023-07-21,29787.041530355687
259,2023-07-22,29914.68272835899
260,2023-07-23,29710.155935991766
261,2023-07-24,30057.956718714588
262,2023-07-25,29184.901913057693
263,2023-07-26,29222.974630383527
264,2023-07-27,29363.672907978616
265,2023-07-28,29200.244001291314
266,2023-07-29,29314.09738709836
267,2023-07-30,29356.74774591667
268,2023-07-31,29277.755810272716
269,2023-08-01,29233.136365580438
270,2023-08-02,29537.109746927432
271,2023-08-03,29146.63627084363
272,2023-08-04,29176.15059658541
273,2023-08-05,29087.938086007627
274,2023-08-06,29046.800457023197
275,2023-08-07,29044.204375577556
276,2023-08-08,29178.147751873083
277,2023-08-09,29779.56167125089
278,2023-08-10,29585.48807737921
279,2023-08-11,29423.81891597763
280,2023-08-12,29396.8479714205
281,2023-08-13,29412.142274584105
282,2023-08-14,29284.96971374381
283,2023-08-15,29400.58680419105
284,2023-08-16,29170.490397060614
285,2023-08-17,28754.197021112574
286,2023-08-18,26501.58726991974
287,2023-08-19,26042.838256848998
288,2023-08-20,26104.778630797897
289,2023-08-21,26160.700419818215
290,2023-08-22,26119.005958595222
291,2023-08-23,26033.675406585844
292,2023-08-24,26450.00862461353
293,2023-08-25,26134.934254516003
294,2023-08-26,26044.036209289134
295,2023-08-27,26002.015717319366
296,2023-08-28,26082.717178218525
297,2023-08-29,26109.2698239287
298,2023-08-30,27730.50373550554
299,2023-08-31,27297.261438480404
300,2023-09-01,25927.417005779287
301,2023-09-02,25812.33049442542
302,2023-09-03,25853.65684277757
303,2023-09-04,25959.596311463454
304,2023-09-05,25829.364772941324
305,2023-09-06,25784.41351983038
306,2023-09-07,25752.958418589413
307,2023-09-08,26192.333433090567
308,2023-09-09,25907.228137249735
309,2023-09-10,25889.3250094629
310,2023-09-11,25834.580098562914
311,2023-09-12,25133.303106566527
312,2023-09-13,25866.806663158084
313,2023-09-14,26223.436075660946
314,2023-09-15,26531.39556626326
315,2023-09-16,26634.631025000588
316,2023-09-17,26557.768691994646
317,2023-09-18,26520.988254783886
318,2023-09-19,26741.461110948952
319,2023-09-20,27219.296874634216
320,2023-09-21,27115.846446970816
321,2023-09-22,26561.133454198716
322,2023-09-23,26572.0381115526
323,2023-09-24,26573.9234797301
324,2023-09-25,26249.562897845204
325,2023-09-26,26298.634678281232
326,2023-09-27,26204.75759083597
327,2023-09-28,26350.146895428057
328,2023-09-29,27009.01375072488
329,2023-09-30,26917.199101637976
330,2023-10-01,26969.876144072576
331,2023-10-02,27967.510579087113
332,2023-10-03,27615.06488509527
333,2023-10-04,27439.121946705116
334,2023-10-05,27792.1112772493
335,2023-10-06,27435.874615135104
336,2023-10-07,27958.196437350485
337,2023-10-08,27977.543490700005
338,2023-10-09,27948.10365174851
339,2023-10-10,27593.782534439666
340,2023-10-11,27392.247702732497
341,2023-10-12,26842.190439092396
342,2023-10-13,26729.137205815106
343,2023-10-14,26841.136220644406
344,2023-10-15,26863.183569079916
345,2023-10-16,27150.29700140705
346,2023-10-17,28513.30993247735
347,2023-10-18,28417.72175169982
348,2023-10-19,28328.245198134824
349,2023-10-20,28715.748142407952
350,2023-10-21,29677.392888476206
351,2023-10-22,29920.07449265145
352,2023-10-23,30019.38050086351
353,2023-10-24,32953.262760830985
354,2023-10-25,33846.72425733224
355,2023-10-26,34471.986031672015
356,2023-10-27,34174.451552912586
357,2023-10-28,33899.09305644032
358,2023-10-29,34092.630932838576
359,2023-10-30,34556.242814761616
360,2023-10-31,34498.70391946407
361,2023-11-01,34672.2892841885
362,2023-11-02,35457.45491210553
363,2023-11-03,34924.05545044328
364,2023-11-04,34731.38136896784
